Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2018-06-02,13,8,µg/mc
"Parco S. Chiara",PM10,2018-06-02,14,10,µg/mc
"Parco S. Chiara",PM10,2018-06-02,15,22,µg/mc
"Parco S. Chiara",PM10,2018-06-02,16,24,µg/mc
"Parco S. Chiara",PM10,2018-06-02,17,17,µg/mc
"Parco S. Chiara",PM10,2018-06-02,18,13,µg/mc
"Parco S. Chiara",PM10,2018-06-02,19,11,µg/mc
"Parco S. Chiara",PM10,2018-06-02,20,17,µg/mc
"Parco S. Chiara",PM10,2018-06-02,21,28,µg/mc
"Parco S. Chiara",PM10,2018-06-02,22,25,µg/mc
"Parco S. Chiara",PM10,2018-06-02,23,21,µg/mc
"Parco S. Chiara",PM10,2018-06-02,24,18,µg/mc
"Parco S. Chiara",PM10,2018-06-03,1,18,µg/mc
"Parco S. Chiara",PM10,2018-06-03,2,18,µg/mc
"Parco S. Chiara",PM10,2018-06-03,3,18,µg/mc
"Parco S. Chiara",PM10,2018-06-03,4,16,µg/mc
"Parco S. Chiara",PM10,2018-06-03,5,15,µg/mc
"Parco S. Chiara",PM10,2018-06-03,6,13,µg/mc
"Parco S. Chiara",PM10,2018-06-03,7,12,µg/mc
"Parco S. Chiara",PM10,2018-06-03,8,10,µg/mc
"Parco S. Chiara",PM10,2018-06-03,9,9,µg/mc
"Parco S. Chiara",PM10,2018-06-03,10,7,µg/mc
"Parco S. Chiara",PM10,2018-06-03,11,6,µg/mc
"Parco S. Chiara",PM10,2018-06-03,12,6,µg/mc
"Parco S. Chiara",PM10,2018-06-03,13,6,µg/mc
"Parco S. Chiara",PM10,2018-06-03,14,3,µg/mc
"Parco S. Chiara",PM10,2018-06-03,15,2,µg/mc
"Parco S. Chiara",PM10,2018-06-03,16,5,µg/mc
"Parco S. Chiara",PM10,2018-06-03,17,12,µg/mc
"Parco S. Chiara",PM10,2018-06-03,18,14,µg/mc
"Parco S. Chiara",PM10,2018-06-03,19,16,µg/mc
"Parco S. Chiara",PM10,2018-06-03,20,25,µg/mc
"Parco S. Chiara",PM10,2018-06-03,21,33,µg/mc
"Parco S. Chiara",PM10,2018-06-03,22,37,µg/mc
"Parco S. Chiara",PM10,2018-06-03,23,29,µg/mc
"Parco S. Chiara",PM10,2018-06-03,24,31,µg/mc
"Parco S. Chiara",PM10,2018-06-04,1,30,µg/mc
"Parco S. Chiara",PM10,2018-06-04,2,28,µg/mc
"Parco S. Chiara",PM10,2018-06-04,3,25,µg/mc
"Parco S. Chiara",PM10,2018-06-04,4,24,µg/mc
"Parco S. Chiara",PM10,2018-06-04,5,26,µg/mc
"Parco S. Chiara",PM10,2018-06-04,6,25,µg/mc
"Parco S. Chiara",PM10,2018-06-04,7,19,µg/mc
"Parco S. Chiara",PM10,2018-06-04,8,19,µg/mc
"Parco S. Chiara",PM10,2018-06-04,9,21,µg/mc
"Parco S. Chiara",PM10,2018-06-04,10,19,µg/mc
"Parco S. Chiara",PM10,2018-06-04,11,18,µg/mc
"Parco S. Chiara",PM10,2018-06-04,12,13,µg/mc
"Parco S. Chiara",PM10,2018-06-04,13,14,µg/mc
"Parco S. Chiara",PM10,2018-06-04,14,21,µg/mc
"Parco S. Chiara",PM10,2018-06-04,15,23,µg/mc
"Parco S. Chiara",PM10,2018-06-04,16,22,µg/mc
"Parco S. Chiara",PM10,2018-06-04,17,19,µg/mc
"Parco S. Chiara",PM10,2018-06-04,18,15,µg/mc
"Parco S. Chiara",PM10,2018-06-04,19,14,µg/mc
"Parco S. Chiara",PM10,2018-06-04,20,17,µg/mc
"Parco S. Chiara",PM10,2018-06-04,21,20,µg/mc
"Parco S. Chiara",PM10,2018-06-04,22,18,µg/mc
"Parco S. Chiara",PM10,2018-06-04,23,16,µg/mc
"Parco S. Chiara",PM10,2018-06-04,24,16,µg/mc
"Parco S. Chiara",PM10,2018-06-05,1,17,µg/mc
"Parco S. Chiara",PM10,2018-06-05,2,18,µg/mc
"Parco S. Chiara",PM10,2018-06-05,3,18,µg/mc
"Parco S. Chiara",PM10,2018-06-05,4,18,µg/mc
"Parco S. Chiara",PM10,2018-06-05,5,16,µg/mc
"Parco S. Chiara",PM10,2018-06-05,6,14,µg/mc
"Parco S. Chiara",PM10,2018-06-05,7,15,µg/mc
"Parco S. Chiara",PM10,2018-06-05,8,14,µg/mc
"Parco S. Chiara",PM10,2018-06-05,9,13,µg/mc
"Parco S. Chiara",PM10,2018-06-05,10,11,µg/mc
"Parco S. Chiara",PM10,2018-06-05,11,9,µg/mc
"Parco S. Chiara",PM10,2018-06-05,12,8,µg/mc
"Parco S. Chiara",PM10,2018-06-05,13,5,µg/mc
"Parco S. Chiara",PM10,2018-06-05,14,5,µg/mc
"Parco S. Chiara",PM10,2018-06-05,15,6,µg/mc
"Parco S. Chiara",PM10,2018-06-05,16,7,µg/mc
"Parco S. Chiara",PM10,2018-06-05,17,10,µg/mc
"Parco S. Chiara",PM10,2018-06-05,18,11,µg/mc
"Parco S. Chiara",PM10,2018-06-05,19,10,µg/mc
"Parco S. Chiara",PM10,2018-06-05,20,14,µg/mc
"Parco S. Chiara",PM10,2018-06-05,21,15,µg/mc
"Parco S. Chiara",PM10,2018-06-05,22,17,µg/mc
"Parco S. Chiara",PM10,2018-06-05,23,18,µg/mc
"Parco S. Chiara",PM10,2018-06-05,24,19,µg/mc
"Parco S. Chiara",PM10,2018-06-06,1,21,µg/mc
