Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2019-02-18,13,9,µg/mc
"Parco S. Chiara",PM10,2019-02-18,14,9,µg/mc
"Parco S. Chiara",PM10,2019-02-18,15,10,µg/mc
"Parco S. Chiara",PM10,2019-02-18,16,11,µg/mc
"Parco S. Chiara",PM10,2019-02-18,17,14,µg/mc
"Parco S. Chiara",PM10,2019-02-18,18,24,µg/mc
"Parco S. Chiara",PM10,2019-02-18,19,49,µg/mc
"Parco S. Chiara",PM10,2019-02-18,20,47,µg/mc
"Parco S. Chiara",PM10,2019-02-18,21,50,µg/mc
"Parco S. Chiara",PM10,2019-02-18,22,50,µg/mc
"Parco S. Chiara",PM10,2019-02-18,23,47,µg/mc
"Parco S. Chiara",PM10,2019-02-18,24,44,µg/mc
"Parco S. Chiara",PM10,2019-02-19,1,41,µg/mc
"Parco S. Chiara",PM10,2019-02-19,2,39,µg/mc
"Parco S. Chiara",PM10,2019-02-19,3,35,µg/mc
"Parco S. Chiara",PM10,2019-02-19,4,29,µg/mc
"Parco S. Chiara",PM10,2019-02-19,5,27,µg/mc
"Parco S. Chiara",PM10,2019-02-19,6,25,µg/mc
"Parco S. Chiara",PM10,2019-02-19,7,22,µg/mc
"Parco S. Chiara",PM10,2019-02-19,8,24,µg/mc
"Parco S. Chiara",PM10,2019-02-19,9,27,µg/mc
"Parco S. Chiara",PM10,2019-02-19,10,26,µg/mc
"Parco S. Chiara",PM10,2019-02-19,11,21,µg/mc
"Parco S. Chiara",PM10,2019-02-19,12,18,µg/mc
"Parco S. Chiara",PM10,2019-02-19,13,16,µg/mc
"Parco S. Chiara",PM10,2019-02-19,14,16,µg/mc
"Parco S. Chiara",PM10,2019-02-19,15,20,µg/mc
"Parco S. Chiara",PM10,2019-02-19,16,34,µg/mc
"Parco S. Chiara",PM10,2019-02-19,17,51,µg/mc
"Parco S. Chiara",PM10,2019-02-19,18,50,µg/mc
"Parco S. Chiara",PM10,2019-02-19,19,55,µg/mc
"Parco S. Chiara",PM10,2019-02-19,20,58,µg/mc
"Parco S. Chiara",PM10,2019-02-19,21,52,µg/mc
"Parco S. Chiara",PM10,2019-02-19,22,59,µg/mc
"Parco S. Chiara",PM10,2019-02-19,23,60,µg/mc
"Parco S. Chiara",PM10,2019-02-19,24,63,µg/mc
"Parco S. Chiara",PM10,2019-02-20,1,55,µg/mc
"Parco S. Chiara",PM10,2019-02-20,2,56,µg/mc
"Parco S. Chiara",PM10,2019-02-20,3,54,µg/mc
"Parco S. Chiara",PM10,2019-02-20,4,45,µg/mc
"Parco S. Chiara",PM10,2019-02-20,5,42,µg/mc
"Parco S. Chiara",PM10,2019-02-20,6,40,µg/mc
"Parco S. Chiara",PM10,2019-02-20,7,34,µg/mc
"Parco S. Chiara",PM10,2019-02-20,8,33,µg/mc
"Parco S. Chiara",PM10,2019-02-20,9,33,µg/mc
"Parco S. Chiara",PM10,2019-02-20,10,31,µg/mc
"Parco S. Chiara",PM10,2019-02-20,11,25,µg/mc
"Parco S. Chiara",PM10,2019-02-20,12,21,µg/mc
"Parco S. Chiara",PM10,2019-02-20,13,22,µg/mc
"Parco S. Chiara",PM10,2019-02-20,14,20,µg/mc
"Parco S. Chiara",PM10,2019-02-20,15,23,µg/mc
"Parco S. Chiara",PM10,2019-02-20,16,23,µg/mc
"Parco S. Chiara",PM10,2019-02-20,17,32,µg/mc
"Parco S. Chiara",PM10,2019-02-20,18,74,µg/mc
"Parco S. Chiara",PM10,2019-02-20,19,96,µg/mc
"Parco S. Chiara",PM10,2019-02-20,20,109,µg/mc
"Parco S. Chiara",PM10,2019-02-20,21,103,µg/mc
"Parco S. Chiara",PM10,2019-02-20,22,75,µg/mc
"Parco S. Chiara",PM10,2019-02-20,23,62,µg/mc
"Parco S. Chiara",PM10,2019-02-20,24,63,µg/mc
"Parco S. Chiara",PM10,2019-02-21,1,79,µg/mc
"Parco S. Chiara",PM10,2019-02-21,2,57,µg/mc
"Parco S. Chiara",PM10,2019-02-21,3,44,µg/mc
"Parco S. Chiara",PM10,2019-02-21,4,42,µg/mc
"Parco S. Chiara",PM10,2019-02-21,5,37,µg/mc
"Parco S. Chiara",PM10,2019-02-21,6,35,µg/mc
"Parco S. Chiara",PM10,2019-02-21,7,34,µg/mc
"Parco S. Chiara",PM10,2019-02-21,8,34,µg/mc
"Parco S. Chiara",PM10,2019-02-21,9,35,µg/mc
"Parco S. Chiara",PM10,2019-02-21,10,27,µg/mc
"Parco S. Chiara",PM10,2019-02-21,11,26,µg/mc
"Parco S. Chiara",PM10,2019-02-21,12,22,µg/mc
"Parco S. Chiara",PM10,2019-02-21,13,21,µg/mc
"Parco S. Chiara",PM10,2019-02-21,14,20,µg/mc
"Parco S. Chiara",PM10,2019-02-21,15,21,µg/mc
"Parco S. Chiara",PM10,2019-02-21,16,21,µg/mc
"Parco S. Chiara",PM10,2019-02-21,17,36,µg/mc
"Parco S. Chiara",PM10,2019-02-21,18,47,µg/mc
"Parco S. Chiara",PM10,2019-02-21,19,77,µg/mc
"Parco S. Chiara",PM10,2019-02-21,20,95,µg/mc
"Parco S. Chiara",PM10,2019-02-21,21,81,µg/mc
"Parco S. Chiara",PM10,2019-02-21,22,69,µg/mc
"Parco S. Chiara",PM10,2019-02-21,23,65,µg/mc
"Parco S. Chiara",PM10,2019-02-21,24,50,µg/mc
"Parco S. Chiara",PM10,2019-02-22,1,42,µg/mc
"Parco S. Chiara",PM10,2019-02-22,2,37,µg/mc
"Parco S. Chiara",PM10,2019-02-22,3,34,µg/mc
"Parco S. Chiara",PM10,2019-02-22,4,28,µg/mc
"Parco S. Chiara",PM10,2019-02-22,5,26,µg/mc
"Parco S. Chiara",PM10,2019-02-22,6,23,µg/mc
"Parco S. Chiara",PM10,2019-02-22,7,22,µg/mc
"Parco S. Chiara",PM10,2019-02-22,8,24,µg/mc
"Parco S. Chiara",PM10,2019-02-22,9,31,µg/mc
"Parco S. Chiara",PM10,2019-02-22,10,25,µg/mc
"Parco S. Chiara",PM10,2019-02-22,11,22,µg/mc
"Parco S. Chiara",PM10,2019-02-22,12,21,µg/mc
"Parco S. Chiara",PM10,2019-02-22,13,19,µg/mc
"Parco S. Chiara",PM10,2019-02-22,14,17,µg/mc
"Parco S. Chiara",PM10,2019-02-22,15,11,µg/mc
"Parco S. Chiara",PM10,2019-02-22,16,6,µg/mc
"Parco S. Chiara",PM10,2019-02-22,17,5,µg/mc
"Parco S. Chiara",PM10,2019-02-22,18,5,µg/mc
"Parco S. Chiara",PM10,2019-02-22,19,4,µg/mc
"Parco S. Chiara",PM10,2019-02-22,20,5,µg/mc
"Parco S. Chiara",PM10,2019-02-22,21,5,µg/mc
"Parco S. Chiara",PM10,2019-02-22,22,7,µg/mc
"Parco S. Chiara",PM10,2019-02-22,23,8,µg/mc
"Parco S. Chiara",PM10,2019-02-22,24,8,µg/mc
"Parco S. Chiara",PM10,2019-02-23,1,10,µg/mc
"Parco S. Chiara",PM10,2019-02-23,2,12,µg/mc
"Parco S. Chiara",PM10,2019-02-23,3,10,µg/mc
"Parco S. Chiara",PM10,2019-02-23,4,9,µg/mc
"Parco S. Chiara",PM10,2019-02-23,5,8,µg/mc
"Parco S. Chiara",PM10,2019-02-23,6,7,µg/mc
"Parco S. Chiara",PM10,2019-02-23,7,9,µg/mc
"Parco S. Chiara",PM10,2019-02-23,8,12,µg/mc
"Parco S. Chiara",PM10,2019-02-23,9,42,µg/mc
"Parco S. Chiara",PM10,2019-02-23,10,83,µg/mc
"Parco S. Chiara",PM10,2019-02-23,11,72,µg/mc
"Parco S. Chiara",PM10,2019-02-23,12,51,µg/mc
"Parco S. Chiara",PM10,2019-02-23,13,34,µg/mc
"Parco S. Chiara",PM10,2019-02-23,14,31,µg/mc
"Parco S. Chiara",PM10,2019-02-23,15,26,µg/mc
"Parco S. Chiara",PM10,2019-02-23,16,16,µg/mc
"Parco S. Chiara",PM10,2019-02-23,17,15,µg/mc
"Parco S. Chiara",PM10,2019-02-23,18,15,µg/mc
"Parco S. Chiara",PM10,2019-02-23,19,15,µg/mc
"Parco S. Chiara",PM10,2019-02-23,20,15,µg/mc
"Parco S. Chiara",PM10,2019-02-23,21,17,µg/mc
"Parco S. Chiara",PM10,2019-02-23,22,19,µg/mc
"Parco S. Chiara",PM10,2019-02-23,23,20,µg/mc
"Parco S. Chiara",PM10,2019-02-23,24,19,µg/mc
"Parco S. Chiara",PM10,2019-02-24,1,41,µg/mc
"Parco S. Chiara",PM10,2019-02-24,2,16,µg/mc
"Parco S. Chiara",PM10,2019-02-24,3,16,µg/mc
"Parco S. Chiara",PM10,2019-02-24,4,16,µg/mc
"Parco S. Chiara",PM10,2019-02-24,5,16,µg/mc
"Parco S. Chiara",PM10,2019-02-24,6,18,µg/mc
"Parco S. Chiara",PM10,2019-02-24,7,19,µg/mc
"Parco S. Chiara",PM10,2019-02-24,8,20,µg/mc
"Parco S. Chiara",PM10,2019-02-24,9,22,µg/mc
"Parco S. Chiara",PM10,2019-02-24,10,24,µg/mc
"Parco S. Chiara",PM10,2019-02-24,11,26,µg/mc
"Parco S. Chiara",PM10,2019-02-24,12,22,µg/mc
"Parco S. Chiara",PM10,2019-02-24,13,21,µg/mc
"Parco S. Chiara",PM10,2019-02-24,14,22,µg/mc
"Parco S. Chiara",PM10,2019-02-24,15,23,µg/mc
"Parco S. Chiara",PM10,2019-02-24,16,22,µg/mc
"Parco S. Chiara",PM10,2019-02-24,17,21,µg/mc
"Parco S. Chiara",PM10,2019-02-24,18,21,µg/mc
"Parco S. Chiara",PM10,2019-02-24,19,25,µg/mc
"Parco S. Chiara",PM10,2019-02-24,20,39,µg/mc
"Parco S. Chiara",PM10,2019-02-24,21,42,µg/mc
"Parco S. Chiara",PM10,2019-02-24,22,38,µg/mc
"Parco S. Chiara",PM10,2019-02-24,23,36,µg/mc
"Parco S. Chiara",PM10,2019-02-24,24,31,µg/mc
"Parco S. Chiara",PM10,2019-02-25,1,30,µg/mc
"Parco S. Chiara",PM10,2019-02-25,2,31,µg/mc
"Parco S. Chiara",PM10,2019-02-25,3,31,µg/mc
"Parco S. Chiara",PM10,2019-02-25,4,31,µg/mc
"Parco S. Chiara",PM10,2019-02-25,5,32,µg/mc
"Parco S. Chiara",PM10,2019-02-25,6,31,µg/mc
